Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Season
E0,2018-08-10,Man United,Leicester,2,1,H,1,0,H,8,13,6,4,2,5,2,1,0,0,2018/19
E0,2018-08-11,Bournemouth,Cardiff,2,0,H,1,0,H,12,10,4,1,7,4,1,1,0,0,2018/19
E0,2018-08-11,Fulham,Crystal Palace,0,2,A,0,1,A,15,10,6,9,5,5,1,2,0,0,2018/19
E0,2018-08-11,Huddersfield,Chelsea,0,3,A,0,2,A,6,13,1,4,2,5,2,1,0,0,2018/19
E0,2018-08-11,Newcastle,Tottenham,1,2,A,1,2,A,15,15,2,5,3,5,2,2,0,0,2018/19
E0,2018-08-11,Watford,Brighton,2,0,H,1,0,H,19,6,5,0,8,2,2,2,0,0,2018/19
E0,2018-08-11,Wolves,Everton,2,2,D,1,1,D,11,6,4,5,3,6,0,1,0,1,2018/19
E0,2018-08-12,Arsenal,Man City,0,2,A,0,1,A,9,17,3,8,2,9,2,2,0,0,2018/19
E0,2018-08-12,Liverpool,West Ham,4,0,H,2,0,H,18,5,8,2,5,4,1,2,0,0,2018/19
E0,2018-08-12,Southampton,Burnley,0,0,D,0,0,D,18,16,3,6,8,5,0,1,0,0,2018/19
E0,2018-08-18,Cardiff,Newcastle,0,0,D,0,0,D,12,12,1,6,5,5,2,2,0,1,2018/19
E0,2018-08-18,Chelsea,Arsenal,3,2,H,2,2,D,24,15,11,6,5,1,0,2,0,0,2018/19
E0,2018-08-18,Everton,Southampton,2,1,H,2,0,H,13,15,7,4,2,5,0,5,0,0,2018/19
E0,2018-08-18,Leicester,Wolves,2,0,H,2,0,H,6,11,2,3,1,9,2,1,1,0,2018/19
E0,2018-08-18,Tottenham,Fulham,3,1,H,1,0,H,25,10,11,3,5,2,0,0,0,0,2018/19
E0,2018-08-18,West Ham,Bournemouth,1,2,A,1,0,H,11,12,5,5,6,4,6,2,0,0,2018/19
E0,2018-08-19,Brighton,Man United,3,2,H,3,1,H,6,9,3,3,3,5,1,1,0,0,2018/19
E0,2018-08-19,Burnley,Watford,1,3,A,1,1,D,8,9,3,6,5,2,1,2,0,0,2018/19
E0,2018-08-19,Man City,Huddersfield,6,1,H,3,1,H,32,5,14,1,10,3,0,2,0,0,2018/19
E0,2018-08-20,Crystal Palace,Liverpool,0,2,A,0,1,A,8,16,2,6,6,7,1,1,1,0,2018/19
E0,2018-08-25,Arsenal,West Ham,3,1,H,1,1,D,17,13,10,5,10,2,1,3,0,0,2018/19
E0,2018-08-25,Bournemouth,Everton,2,2,D,0,0,D,17,11,5,3,6,2,0,3,1,1,2018/19
E0,2018-08-25,Huddersfield,Cardiff,0,0,D,0,0,D,5,14,1,4,7,7,0,1,1,0,2018/19
E0,2018-08-25,Liverpool,Brighton,1,0,H,1,0,H,22,6,8,2,8,5,1,1,0,0,2018/19
E0,2018-08-25,Southampton,Leicester,1,2,A,0,0,D,11,8,5,5,10,3,1,1,1,0,2018/19
E0,2018-08-25,Wolves,Man City,1,1,D,0,0,D,11,18,2,6,5,9,1,2,0,0,2018/19
E0,2018-08-26,Fulham,Burnley,4,2,H,3,2,H,25,12,12,2,6,4,2,1,0,0,2018/19
E0,2018-08-26,Newcastle,Chelsea,1,2,A,0,0,D,6,15,2,3,4,5,3,1,0,0,2018/19
E0,2018-08-26,Watford,Crystal Palace,2,1,H,0,0,D,13,9,5,3,6,3,4,2,0,0,2018/19
E0,2018-08-27,Man United,Tottenham,0,3,A,0,0,D,23,9,5,5,5,2,2,4,0,0,2018/19
E0,2018-09-01,Brighton,Fulham,2,2,D,0,1,A,15,10,5,5,7,1,3,3,0,0,2018/19
E0,2018-09-01,Chelsea,Bournemouth,2,0,H,0,0,D,24,8,6,1,7,6,2,2,0,0,2018/19
E0,2018-09-01,Crystal Palace,Southampton,0,2,A,0,0,D,20,19,6,6,7,4,1,1,0,0,2018/19
E0,2018-09-01,Everton,Huddersfield,1,1,D,1,1,D,11,9,1,6,4,3,3,3,0,0,2018/19
E0,2018-09-01,Leicester,Liverpool,1,2,A,0,2,A,12,10,5,4,4,4,3,2,0,0,2018/19
E0,2018-09-01,Man City,Newcastle,2,1,H,1,1,D,24,3,8,2,4,0,0,0,0,0,2018/19
E0,2018-09-01,West Ham,Wolves,0,1,A,0,0,D,13,15,3,6,4,4,2,1,0,0,2018/19
E0,2018-09-02,Burnley,Man United,0,2,A,0,2,A,9,21,2,9,2,5,2,3,0,1,2018/19
E0,2018-09-02,Cardiff,Arsenal,2,3,A,1,1,D,14,17,3,11,3,9,3,4,0,0,2018/19
E0,2018-09-02,Watford,Tottenham,2,1,H,0,0,D,7,11,3,2,3,10,2,1,0,0,2018/19
E0,2018-09-15,Bournemouth,Leicester,4,2,H,3,0,H,10,14,5,8,4,6,3,2,0,1,2018/19
E0,2018-09-15,Chelsea,Cardiff,4,1,H,2,1,H,18,6,7,2,5,4,0,0,0,0,2018/19
E0,2018-09-15,Huddersfield,Crystal Palace,0,1,A,0,1,A,15,7,2,2,5,3,1,2,0,0,2018/19
E0,2018-09-15,Man City,Fulham,3,0,H,2,0,H,28,9,9,3,10,4,0,0,0,0,2018/19
E0,2018-09-15,Newcastle,Arsenal,1,2,A,0,0,D,4,12,2,2,10,4,0,0,0,0,2018/19
E0,2018-09-15,Tottenham,Liverpool,1,2,A,0,1,A,11,17,3,10,5,4,0,0,0,0,2018/19
E0,2018-09-15,Watford,Man United,1,2,A,0,2,A,14,9,5,6,6,8,2,1,0,1,2018/19
E0,2018-09-16,Everton,West Ham,1,3,A,1,2,A,16,9,4,4,4,2,2,5,0,0,2018/19
E0,2018-09-16,Wolves,Burnley,1,0,H,0,0,D,30,7,7,2,8,2,2,4,0,0,2018/19
E0,2018-09-17,Southampton,Brighton,2,2,D,1,0,H,14,12,5,4,1,4,2,3,0,0,2018/19
E0,2018-09-22,Brighton,Tottenham,1,2,A,0,1,A,8,16,4,7,5,7,2,1,0,0,2018/19
E0,2018-09-22,Burnley,Bournemouth,4,0,H,2,0,H,12,19,5,5,3,8,2,0,0,0,2018/19
E0,2018-09-22,Cardiff,Man City,0,5,A,0,3,A,2,21,2,10,1,9,1,1,0,0,2018/19
E0,2018-09-22,Crystal Palace,Newcastle,0,0,D,0,0,D,16,6,4,3,9,5,1,1,0,0,2018/19
E0,2018-09-22,Fulham,Watford,1,1,D,0,1,A,15,11,3,6,8,8,2,1,0,0,2018/19
E0,2018-09-22,Leicester,Huddersfield,3,1,H,1,1,D,18,9,8,2,3,1,2,1,0,0,2018/19
E0,2018-09-22,Liverpool,Southampton,3,0,H,3,0,H,12,7,4,1,5,4,0,2,0,0,2018/19
E0,2018-09-22,Man United,Wolves,1,1,D,1,0,H,15,11,6,8,5,4,1,1,0,0,2018/19
E0,2018-09-23,Arsenal,Everton,2,0,H,0,0,D,9,9,5,6,5,9,2,1,0,0,2018/19
