Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HY,AY,HR,AR,Season
E0,2015-08-08,Bournemouth,Aston Villa,0,1,A,0,0,D,11,7,2,3,6,3,3,4,0,0,2015/16
E0,2015-08-08,Chelsea,Swansea,2,2,D,2,1,H,11,18,3,10,4,8,1,3,1,0,2015/16
E0,2015-08-08,Everton,Watford,2,2,D,0,1,A,10,11,5,5,8,2,1,2,0,0,2015/16
E0,2015-08-08,Leicester,Sunderland,4,2,H,3,0,H,19,10,8,5,6,3,2,4,0,0,2015/16
E0,2015-08-08,Man United,Tottenham,1,0,H,1,0,H,9,9,1,4,1,2,2,3,0,0,2015/16
E0,2015-08-08,Norwich,Crystal Palace,1,3,A,0,1,A,17,11,6,7,1,4,1,0,0,0,2015/16
E0,2015-08-09,Arsenal,West Ham,0,2,A,0,1,A,22,8,6,4,5,4,1,3,0,0,2015/16
E0,2015-08-09,Newcastle,Southampton,2,2,D,1,1,D,9,15,4,5,6,6,2,4,0,0,2015/16
E0,2015-08-09,Stoke,Liverpool,0,1,A,0,0,D,7,8,1,3,3,5,2,4,0,0,2015/16
E0,2015-08-10,West Brom,Man City,0,3,A,0,2,A,9,19,2,7,6,6,4,1,0,0,2015/16
E0,2015-08-14,Aston Villa,Man United,0,1,A,0,1,A,5,9,1,2,3,5,2,2,0,0,2015/16
E0,2015-08-15,Southampton,Everton,0,3,A,0,2,A,17,10,4,4,9,9,4,2,0,0,2015/16
E0,2015-08-15,Sunderland,Norwich,1,3,A,0,2,A,6,19,2,6,6,6,1,2,0,0,2015/16
E0,2015-08-15,Swansea,Newcastle,2,0,H,1,0,H,19,4,6,2,4,4,2,1,0,1,2015/16
E0,2015-08-15,Tottenham,Stoke,2,2,D,2,0,H,13,16,7,7,4,3,2,2,0,0,2015/16
E0,2015-08-15,Watford,West Brom,0,0,D,0,0,D,16,6,5,0,2,4,1,2,0,0,2015/16
E0,2015-08-15,West Ham,Leicester,1,2,A,0,2,A,10,11,3,6,8,4,1,3,1,0,2015/16
E0,2015-08-16,Crystal Palace,Arsenal,1,2,A,1,1,D,11,20,4,7,6,6,1,1,0,0,2015/16
E0,2015-08-16,Man City,Chelsea,3,0,H,1,0,H,18,10,8,3,5,1,4,2,0,0,2015/16
E0,2015-08-17,Liverpool,Bournemouth,1,0,H,1,0,H,18,13,2,2,6,8,1,4,0,0,2015/16
E0,2015-08-22,Crystal Palace,Aston Villa,2,1,H,0,0,D,16,11,6,2,6,4,3,3,0,0,2015/16
E0,2015-08-22,Leicester,Tottenham,1,1,D,0,0,D,13,19,2,6,2,7,1,4,0,0,2015/16
E0,2015-08-22,Man United,Newcastle,0,0,D,0,0,D,20,7,8,0,11,5,2,2,0,0,2015/16
E0,2015-08-22,Norwich,Stoke,1,1,D,1,1,D,21,6,7,1,9,0,4,1,0,0,2015/16
E0,2015-08-22,Sunderland,Swansea,1,1,D,0,1,A,10,20,2,9,3,4,4,2,0,0,2015/16
