Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,label,home_form,away_form,form_diff,home_wform,away_wform,wform_diff,home_adj_form,away_adj_form,adj_form_diff,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,scored_diff,conceded_diff,h2h_dominance,home_elo,away_elo,elo_diff,home_sot_avg,away_sot_avg,sot_diff,home_rest,away_rest,rest_diff,home_season_gd,away_season_gd,season_gd_diff,home_ppg,away_ppg,ppg_diff,home_venue_form,away_venue_form,venue_form_diff,home_cs_rate,away_cs_rate,cs_diff,home_win_streak,away_win_streak,win_streak_diff,home_loss_streak,away_loss_streak,loss_streak_diff
2024/25,2024-08-24,Brighton,Manchester United,2,1,H,0,3.0,3.0,0.0,3.0,3.0,0.0,3.0433761726510973,3.026956470726023,0.01641970192507447,3.0,0.0,1.0,0.0,2.0,0.0,-0.14285714285714285,1551.147668122343,1630.039529414138,-78.89186129179507,5.0,5.0,0.0,7,8,-1,3,1,2,3.0,3.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,0,0,0,0
2024/25,2024-08-24,Fulham,Leicester City,2,1,H,0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0731906343944018,-1.0731906343944018,0.0,1.0,1.0,1.0,-1.0,0.0,0.16666666666666666,1506.5325505557155,1485.8816804447877,20.650870110927826,2.0,3.0,-1.0,8,5,3,-1,0,-1,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1
2024/25,2024-08-24,Tottenham,Everton,4,0,H,0,1.0,0.0,1.0,1.0,0.0,1.0,0.9882469238432648,0.0,0.9882469238432648,1.0,1.0,0.0,3.0,1.0,-2.0,0.3888888888888889,1606.2746569117123,1512.264119283112,94.01053762860033,7.0,1.0,6.0,5,7,-2,0,-3,3,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-1
2024/25,2024-08-24,Southampton,Nott'm Forest,0,1,A,2,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.001126785025495,-1.001126785025495,0.0,1.0,1.0,1.0,-1.0,0.0,-1.0,1396.3928404250607,1466.981071899739,-70.5882314746782,4.0,8.0,-4.0,7,7,0,-1,0,-1,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,1
2024/25,2024-08-24,Aston Villa,Arsenal,0,2,A,2,3.0,3.0,0.0,3.0,3.0,0.0,3.064953820660321,2.9964998334423583,0.06845398721796281,2.0,1.0,2.0,0.0,0.0,1.0,-0.16666666666666666,1629.5531477083427,1766.4648574808994,-136.9117097725566,3.0,6.0,-3.0,7,7,0,1,2,-1,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,1,1,0,0,0,0
2024/25,2024-08-24,Crystal Palace,West Ham,0,2,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,-0.05555555555555555,1541.5901979611322,1525.0000997019824,16.590098259149727,6.0,3.0,3.0,6,7,-1,-1,-1,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
2024/25,2024-08-25,Bournemouth,Newcastle United,1,1,D,1,1.0,3.0,-2.0,1.0,3.0,-2.0,0.9773041173256211,2.8019528132798306,-1.8246486959542096,1.0,1.0,1.0,0.0,0.0,1.0,-0.08333333333333333,1500.6652816269352,1616.2721377812413,-115.60685615430612,4.0,1.0,3.0,8,8,0,0,1,-1,1.0,3.0,-2.0,1.0,1.0,0.0,0.0,1.0,-1.0,0,1,-1,0,0,0
2024/25,2024-08-25,Wolverhampton,Chelsea,2,6,A,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.16666666666666666,1494.670585991776,1615.126552805923,-120.4559668141469,3.0,3.0,0.0,8,7,1,-2,-2,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0
2024/25,2024-08-25,Liverpool,Brentford,2,0,H,0,3.0,3.0,0.0,3.0,3.0,0.0,3.0,3.1054789703413133,-0.10547897034131326,2.0,0.0,2.0,1.0,0.0,-1.0,0.5,1739.6178977510465,1523.7812302797852,215.8366674712613,5.0,5.0,0.0,8,7,1,2,1,1,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,0,0,0,0
2024/25,2024-08-31,Nott'm Forest,Wolverhampton,1,1,D,1,2.0,0.0,2.0,2.142857142857143,0.0,2.142857142857143,1.8969562329378082,0.0,1.8969562329378082,1.0,0.5,1.0,4.0,0.0,-3.5,-0.25,1474.9768798706502,1488.0050441812577,-13.028164310607508,8.0,3.5,4.5,7,6,1,1,-6,7,2.0,0.0,2.0,1.0,0.0,1.0,0.5,0.0,0.5,1,0,1,0,2,-2
