Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,label,home_form,away_form,form_diff,home_scored_avg,home_conceded_avg,away_scored_avg,away_conceded_avg,scored_diff,conceded_diff,h2h_home_winrate,home_advantage,home_elo,away_elo,elo_diff,home_shots_avg,away_shots_avg,shots_diff,home_sot_avg,away_sot_avg,sot_diff,home_corners_avg,away_corners_avg,corners_diff,home_rest,away_rest,rest_diff,home_streak,away_streak,streak_diff,home_season_gd,away_season_gd,season_gd_diff,home_ppg,away_ppg,ppg_diff,home_progress,away_progress
2018/19,2018-01-09,Crystal Palace,Southampton,0,2,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.6666666666666666,0.3979591836734694,1439.9788147827946,1482.5872370758132,-42.60842229301852,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,9,10,-1,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-09,West Ham,Wolverhampton,0,1,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.45,0.5425531914893617,1466.0089999428317,1500.0,-33.99100005716832,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,14,7,7,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-09,Chelsea,Bournemouth,2,0,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.5,0.7,1664.8740236210988,1460.599243754824,204.27477986627468,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5,8,-3,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-09,Leicester City,Liverpool,1,2,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.6666666666666666,0.673469387755102,1517.3496751319576,1659.8466094741723,-142.49693434221467,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,8,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-09,Manchester City,Newcastle United,2,1,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,1.0,0.7708333333333334,1738.9706454918796,1436.1732946459204,302.7973508459593,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,6,8,-2,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-09,Everton,Huddersfield,1,1,D,1,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,1.0,0.6122448979591837,1523.380682815497,1476.8205740377084,46.56010877778863,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,8,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-09,Brighton,Fulham,2,2,D,1,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.45,0.5454545454545454,1479.4392519466396,1500.0,-20.560748053360385,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,7,1,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-01-10,Bournemouth,Crystal Palace,2,1,H,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.25,0.46938775510204084,1455.8834405667137,1431.1990724024763,24.684368164237412,8.0,20.0,-12.0,1.0,6.0,-5.0,6.0,7.0,-1.0,1,1,0,-1,-1,0,-2,-2,0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421
2018/19,2018-01-12,Manchester City,Bournemouth,3,1,H,0,3.0,1.5,1.5,2.0,1.0,1.0,1.5,1.0,-0.5,1.0,0.7755102040816326,1741.949185460661,1465.174160354701,276.77502510596014,24.0,9.5,14.5,8.0,3.0,5.0,4.0,4.5,-0.5,3,2,1,1,1,0,1,-1,2,3.0,1.5,1.5,0.02631578947368421,0.05263157894736842
2018/19,2018-01-12,Leicester City,Watford,2,0,H,0,0.0,1.0,-1.0,1.0,2.0,1.1,1.3,-0.10000000000000009,0.7,1.0,0.66,1511.2355833437434,1433.9296782650836,77.30590507865986,12.0,5.0,7.0,5.0,2.0,3.0,4.0,5.0,-1.0,3,13,-10,-1,0,-1,-1,0,-1,0.0,1.5,-1.5,0.02631578947368421,0.0
2018/19,2018-01-12,Huddersfield,Brighton,1,2,A,2,1.0,1.0,0.0,1.0,1.0,2.0,2.0,-1.0,-1.0,1.0,0.5454545454545454,1478.1527166254348,1480.0303479804027,-1.877631354967889,9.0,15.0,-6.0,6.0,5.0,1.0,3.0,7.0,-4.0,3,3,0,0,0,0,0,0,0,1.0,1.0,0.0,0.02631578947368421,0.02631578947368421
2018/19,2018-01-12,Crystal Palace,Burnley,2,0,H,0,0.0,1.0,-1.0,0.5,2.0,1.1,1.3,-0.6000000000000001,0.7,0.0,0.39,1421.908352614489,1506.3896972929108,-84.48134467842169,15.0,5.0,10.0,4.0,2.0,2.0,5.0,5.0,0.0,2,11,-9,-2,0,-2,-3,0,-3,0.0,1.5,-1.5,0.05263157894736842,0.0
2018/19,2018-01-12,Newcastle United,West Ham,0,3,A,2,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,0.48333333333333334,1433.194754677139,1456.984230085151,-23.789475408012095,3.0,13.0,-10.0,2.0,3.0,-1.0,0.0,4.0,-4.0,3,3,0,-1,-1,0,-1,-1,0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421
2018/19,2018-01-12,Southampton,Manchester United,2,2,D,1,3.0,1.0,2.0,2.0,0.0,1.1,1.3,0.8999999999999999,-1.3,0.16666666666666666,0.5408163265306123,1491.3669794561315,1651.5924755774276,-160.22549612129615,19.0,5.0,14.0,6.0,2.0,4.0,4.0,5.0,-1.0,3,11,-8,1,0,1,2,0,2,3.0,1.5,1.5,0.02631578947368421,0.0
2018/19,2018-02-09,Burnley,Manchester United,0,2,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,0.5645161290322581,1475.239224375669,1647.5695488533904,-172.33032447772143,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,9,9,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-02-09,Cardiff,Arsenal,2,3,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.45,0.45,1500.0,1603.542041478927,-103.5420414789271,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,7,10,-3,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-02-09,Watford,Tottenham,2,1,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.16666666666666666,0.48,1418.4578595448904,1683.6362456634345,-265.17838611854404,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,8,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-02-12,Arsenal,Tottenham,4,2,H,0,3.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,0.0,0.6666666666666666,0.7843137254901961,1610.6470642680888,1667.206403563074,-56.55933929498519,17.0,11.0,6.0,11.0,2.0,9.0,9.0,10.0,-1.0,3,3,0,1,-1,2,1,-1,2,3.0,0.0,3.0,0.02631578947368421,0.02631578947368421
2018/19,2018-02-12,Chelsea,Fulham,2,0,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.45,0.6886792452830188,1655.5125683943193,1499.408903966237,156.1036644280823,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,12,34,-22,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-02-12,Liverpool,Everton,1,0,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.8333333333333334,0.72,1666.590182244363,1524.4244448376692,142.16573740669378,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,13,12,1,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-03-11,West Ham,Burnley,4,2,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,1.0,0.5392156862745098,1458.8582709937089,1487.477785362002,-28.61951436829304,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,8,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-03-11,Newcastle United,Watford,1,0,H,0,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.0,0.4696969696969697,1420.9556751274126,1456.312076425874,-35.35640129846138,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,8,0,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-03-11,Bournemouth,Manchester United,1,2,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.5,0.5,1498.414365214786,1667.80136677867,-169.38700156388404,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,8,9,-1,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
2018/19,2018-03-11,Cardiff,Leicester City,0,1,A,2,1.0,1.0,0.0,1.3,1.1,1.1,1.3,0.19999999999999996,-0.19999999999999996,0.45,0.0,1492.8949772108383,1515.1251585841574,-22.230181373319056,5.0,5.0,0.0,2.0,2.0,0.0,5.0,5.0,0.0,30,8,22,0,0,0,0,0,0,1.5,1.5,0.0,0.0,0.0
